date,year,month,day,full_path,status,missing_list,meta_size
2002-07-05,2002,7,5,/nrp/sio/embeddings_modis_2002-2022/2002/07/05/,OK,,839885
2002-07-06,2002,7,6,/nrp/sio/embeddings_modis_2002-2022/2002/07/06/,OK,,815264
2002-07-07,2002,7,7,/nrp/sio/embeddings_modis_2002-2022/2002/07/07/,OK,,826619
2002-07-08,2002,7,8,/nrp/sio/embeddings_modis_2002-2022/2002/07/08/,OK,,824179
2002-07-09,2002,7,9,/nrp/sio/embeddings_modis_2002-2022/2002/07/09/,OK,,815680
2002-07-10,2002,7,10,/nrp/sio/embeddings_modis_2002-2022/2002/07/10/,OK,,579445
2002-07-11,2002,7,11,/nrp/sio/embeddings_modis_2002-2022/2002/07/11/,OK,,739993
2002-07-12,2002,7,12,/nrp/sio/embeddings_modis_2002-2022/2002/07/12/,OK,,803983
2002-07-13,2002,7,13,/nrp/sio/embeddings_modis_2002-2022/2002/07/13/,OK,,818314
2002-07-14,2002,7,14,/nrp/sio/embeddings_modis_2002-2022/2002/07/14/,OK,,836086
2002-07-15,2002,7,15,/nrp/sio/embeddings_modis_2002-2022/2002/07/15/,OK,,834904
2002-07-16,2002,7,16,/nrp/sio/embeddings_modis_2002-2022/2002/07/16/,OK,,825608
2002-07-17,2002,7,17,/nrp/sio/embeddings_modis_2002-2022/2002/07/17/,OK,,849664
2002-07-18,2002,7,18,/nrp/sio/embeddings_modis_2002-2022/2002/07/18/,OK,,799518
2002-07-19,2002,7,19,/nrp/sio/embeddings_modis_2002-2022/2002/07/19/,OK,,725288
2002-07-20,2002,7,20,/nrp/sio/embeddings_modis_2002-2022/2002/07/20/,OK,,816569
2002-07-21,2002,7,21,/nrp/sio/embeddings_modis_2002-2022/2002/07/21/,OK,,848811
2002-07-22,2002,7,22,/nrp/sio/embeddings_modis_2002-2022/2002/07/22/,OK,,830473
2002-07-23,2002,7,23,/nrp/sio/embeddings_modis_2002-2022/2002/07/23/,OK,,830795
2002-07-24,2002,7,24,/nrp/sio/embeddings_modis_2002-2022/2002/07/24/,OK,,845712
2002-07-25,2002,7,25,/nrp/sio/embeddings_modis_2002-2022/2002/07/25/,OK,,817780
2002-07-26,2002,7,26,/nrp/sio/embeddings_modis_2002-2022/2002/07/26/,OK,,860666
2002-07-27,2002,7,27,/nrp/sio/embeddings_modis_2002-2022/2002/07/27/,OK,,810341
2002-07-28,2002,7,28,/nrp/sio/embeddings_modis_2002-2022/2002/07/28/,OK,,855007
2002-07-29,2002,7,29,/nrp/sio/embeddings_modis_2002-2022/2002/07/29/,OK,,686922
2002-08-09,2002,8,9,/nrp/sio/embeddings_modis_2002-2022/2002/08/09/,OK,,840358
2002-08-10,2002,8,10,/nrp/sio/embeddings_modis_2002-2022/2002/08/10/,OK,,811119
2002-08-11,2002,8,11,/nrp/sio/embeddings_modis_2002-2022/2002/08/11/,OK,,854721
2002-08-12,2002,8,12,/nrp/sio/embeddings_modis_2002-2022/2002/08/12/,OK,,802435
2002-08-13,2002,8,13,/nrp/sio/embeddings_modis_2002-2022/2002/08/13/,OK,,795794
2002-08-14,2002,8,14,/nrp/sio/embeddings_modis_2002-2022/2002/08/14/,OK,,771416
2002-08-15,2002,8,15,/nrp/sio/embeddings_modis_2002-2022/2002/08/15/,OK,,831560
2002-08-16,2002,8,16,/nrp/sio/embeddings_modis_2002-2022/2002/08/16/,OK,,829175
2002-08-17,2002,8,17,/nrp/sio/embeddings_modis_2002-2022/2002/08/17/,OK,,816742
2002-08-18,2002,8,18,/nrp/sio/embeddings_modis_2002-2022/2002/08/18/,OK,,807674
2002-08-19,2002,8,19,/nrp/sio/embeddings_modis_2002-2022/2002/08/19/,OK,,804572
2002-08-20,2002,8,20,/nrp/sio/embeddings_modis_2002-2022/2002/08/20/,OK,,858398
2002-08-21,2002,8,21,/nrp/sio/embeddings_modis_2002-2022/2002/08/21/,OK,,817098
2002-08-22,2002,8,22,/nrp/sio/embeddings_modis_2002-2022/2002/08/22/,OK,,843632
2002-08-23,2002,8,23,/nrp/sio/embeddings_modis_2002-2022/2002/08/23/,OK,,832928
2002-08-24,2002,8,24,/nrp/sio/embeddings_modis_2002-2022/2002/08/24/,OK,,825845
2002-08-25,2002,8,25,/nrp/sio/embeddings_modis_2002-2022/2002/08/25/,OK,,847106
2002-08-26,2002,8,26,/nrp/sio/embeddings_modis_2002-2022/2002/08/26/,OK,,812650
2002-08-27,2002,8,27,/nrp/sio/embeddings_modis_2002-2022/2002/08/27/,OK,,859154
2002-08-28,2002,8,28,/nrp/sio/embeddings_modis_2002-2022/2002/08/28/,OK,,813971
2002-08-29,2002,8,29,/nrp/sio/embeddings_modis_2002-2022/2002/08/29/,OK,,848057
2002-08-30,2002,8,30,/nrp/sio/embeddings_modis_2002-2022/2002/08/30/,OK,,829825
2002-08-31,2002,8,31,/nrp/sio/embeddings_modis_2002-2022/2002/08/31/,OK,,550134
2002-09-01,2002,9,1,/nrp/sio/embeddings_modis_2002-2022/2002/09/01/,OK,,12565
2002-09-02,2002,9,2,/nrp/sio/embeddings_modis_2002-2022/2002/09/02/,OK,,820071
2002-09-03,2002,9,3,/nrp/sio/embeddings_modis_2002-2022/2002/09/03/,OK,,855563
2002-09-04,2002,9,4,/nrp/sio/embeddings_modis_2002-2022/2002/09/04/,OK,,805401
2002-09-05,2002,9,5,/nrp/sio/embeddings_modis_2002-2022/2002/09/05/,OK,,858392
2002-09-06,2002,9,6,/nrp/sio/embeddings_modis_2002-2022/2002/09/06/,OK,,821963
2002-09-07,2002,9,7,/nrp/sio/embeddings_modis_2002-2022/2002/09/07/,OK,,845634
2002-09-08,2002,9,8,/nrp/sio/embeddings_modis_2002-2022/2002/09/08/,OK,,842128
2002-09-09,2002,9,9,/nrp/sio/embeddings_modis_2002-2022/2002/09/09/,OK,,830239
2002-09-10,2002,9,10,/nrp/sio/embeddings_modis_2002-2022/2002/09/10/,OK,,856305
2002-09-11,2002,9,11,/nrp/sio/embeddings_modis_2002-2022/2002/09/11/,OK,,805808
2002-09-12,2002,9,12,/nrp/sio/embeddings_modis_2002-2022/2002/09/12/,OK,,471264
2002-09-14,2002,9,14,/nrp/sio/embeddings_modis_2002-2022/2002/09/14/,OK,,385800
2002-09-15,2002,9,15,/nrp/sio/embeddings_modis_2002-2022/2002/09/15/,OK,,832128
2002-09-16,2002,9,16,/nrp/sio/embeddings_modis_2002-2022/2002/09/16/,OK,,829372
2002-09-17,2002,9,17,/nrp/sio/embeddings_modis_2002-2022/2002/09/17/,OK,,845059
2002-09-18,2002,9,18,/nrp/sio/embeddings_modis_2002-2022/2002/09/18/,OK,,817319
2002-09-19,2002,9,19,/nrp/sio/embeddings_modis_2002-2022/2002/09/19/,OK,,858584
2002-09-20,2002,9,20,/nrp/sio/embeddings_modis_2002-2022/2002/09/20/,OK,,803935
2002-09-21,2002,9,21,/nrp/sio/embeddings_modis_2002-2022/2002/09/21/,OK,,845283
2002-09-22,2002,9,22,/nrp/sio/embeddings_modis_2002-2022/2002/09/22/,OK,,822018
2002-09-23,2002,9,23,/nrp/sio/embeddings_modis_2002-2022/2002/09/23/,OK,,838634
2002-09-24,2002,9,24,/nrp/sio/embeddings_modis_2002-2022/2002/09/24/,OK,,838893
2002-09-25,2002,9,25,/nrp/sio/embeddings_modis_2002-2022/2002/09/25/,OK,,820540
2002-09-26,2002,9,26,/nrp/sio/embeddings_modis_2002-2022/2002/09/26/,OK,,852095
2002-09-27,2002,9,27,/nrp/sio/embeddings_modis_2002-2022/2002/09/27/,OK,,804597
2002-09-28,2002,9,28,/nrp/sio/embeddings_modis_2002-2022/2002/09/28/,OK,,862411
2002-09-29,2002,9,29,/nrp/sio/embeddings_modis_2002-2022/2002/09/29/,OK,,818631
2002-09-30,2002,9,30,/nrp/sio/embeddings_modis_2002-2022/2002/09/30/,OK,,847846
2002-10-01,2002,10,1,/nrp/sio/embeddings_modis_2002-2022/2002/10/01/,OK,,19342
2002-10-02,2002,10,2,/nrp/sio/embeddings_modis_2002-2022/2002/10/02/,OK,,830192
2002-10-03,2002,10,3,/nrp/sio/embeddings_modis_2002-2022/2002/10/03/,OK,,850587
2002-10-04,2002,10,4,/nrp/sio/embeddings_modis_2002-2022/2002/10/04/,OK,,482135
2002-10-05,2002,10,5,/nrp/sio/embeddings_modis_2002-2022/2002/10/05/,OK,,720416
2002-10-06,2002,10,6,/nrp/sio/embeddings_modis_2002-2022/2002/10/06/,OK,,815694
2002-10-07,2002,10,7,/nrp/sio/embeddings_modis_2002-2022/2002/10/07/,OK,,857994
2002-10-08,2002,10,8,/nrp/sio/embeddings_modis_2002-2022/2002/10/08/,OK,,830671
2002-10-09,2002,10,9,/nrp/sio/embeddings_modis_2002-2022/2002/10/09/,OK,,841490
2002-10-10,2002,10,10,/nrp/sio/embeddings_modis_2002-2022/2002/10/10/,OK,,846371
2002-10-11,2002,10,11,/nrp/sio/embeddings_modis_2002-2022/2002/10/11/,OK,,824843
2002-10-12,2002,10,12,/nrp/sio/embeddings_modis_2002-2022/2002/10/12/,OK,,861248
2002-10-13,2002,10,13,/nrp/sio/embeddings_modis_2002-2022/2002/10/13/,OK,,813271
2002-10-14,2002,10,14,/nrp/sio/embeddings_modis_2002-2022/2002/10/14/,OK,,839645
2002-10-15,2002,10,15,/nrp/sio/embeddings_modis_2002-2022/2002/10/15/,OK,,823538
2002-10-16,2002,10,16,/nrp/sio/embeddings_modis_2002-2022/2002/10/16/,OK,,439703
2002-10-17,2002,10,17,/nrp/sio/embeddings_modis_2002-2022/2002/10/17/,OK,,743853
2002-10-18,2002,10,18,/nrp/sio/embeddings_modis_2002-2022/2002/10/18/,OK,,832145
2002-10-19,2002,10,19,/nrp/sio/embeddings_modis_2002-2022/2002/10/19/,OK,,853720
